NAMA SEKOLAH,STATUS,JUMLAH,B_INDO,B_INGGRIS,MAT,FISIKA,KIMIA,BIOLOGI,RATA2
SMA NEGERI 3 YOGYAKARTA,N,209,87.96,79.96,77.59,85.01,84.5,81.77,82.79833333
SMA NEGERI 1 YOGYAKARTA,N,244,88.2,79.04,74.23,84.04,81.5,80.94,81.325
SMA 1 WONOSARI,N,116,86.5,78.81,78.13,77.41,77.05,78.62,79.42
SMA NEGERI 8 YOGYAKARTA,N,216,86.99,78.23,73.34,81.96,79.5,76.18,79.36666667
SMA NEGERI 3 BANTUL,N,96,85.04,74.64,80.79,83.42,75.29,76.44,79.27
SMA KOLESE DE BRITTO,S,128,84.98,78.92,67.66,84.91,71.41,79.57,77.90833333
SMA NEGERI 2 YOGYAKARTA,N,238,87.62,77.63,69.63,78.79,78.14,75.59,77.9
SMA NEGERI 5 YOGYAKARTA,N,156,86.67,75.23,70.28,77.02,77.61,75.78,77.09833333
SMA NEGERI 2 BANTUL,N,149,86.96,71.79,69.45,76.61,76.78,74.04,75.93833333
SMA KESATUAN BANGSA,S,68,84.69,79.46,72.94,78.75,65.07,73.82,75.78833333
SMA NEGERI 1 BANTUL,N,155,87.29,75.76,65.63,75.57,75.95,73.08,75.54666667
SMA MUHAMMADIYAH 1 PRAMBANAN,S,16,75.76,58.08,89.58,74.94,71.56,82.38,75.38333333
SMA NEGERI 9 YOGYAKARTA,N,147,87.22,77.3,63.93,74.6,74.91,74.07,75.33833333
SMA NEGERI 6 YOGYAKARTA,N,180,86.59,75.92,61.42,75.93,74.1,76.14,75.01666667
SMA NEGERI 1 KASIHAN,N,159,84.27,75.37,70.12,78.62,66.43,72.35,74.52666667
SMA NEGERI 1 KALASAN,N,138,86.2,71.95,62.02,75.04,75.67,74.08,74.16
SMA NEGERI 1 JETIS,N,92,87.23,70.96,63.15,72.37,73.1,74.56,73.56166667
SMA NEGERI 1 DEPOK,N,100,86.12,71.52,65.22,72.56,74.53,70.57,73.42
SMA NEGERI 1 GODEAN,N,64,86.7,68.67,67.15,71.26,73.52,70.78,73.01333333
SMA NEGERI 7 YOGYAKARTA,N,141,86.45,72.17,65.31,68.53,70.62,70.25,72.22166667
SMA NEGERI 1 WATES,N,132,86.46,72.6,61.33,69.74,72.8,69.9,72.13833333
SMA NEGERI 1 PAKEM,N,65,86.96,69.48,62.96,69.86,71.35,69.9,71.75166667
SMA STELLA DUCE 1 YOGYAKARTA,S,134,84.85,73.85,59,70.37,70.37,70.12,71.42666667
SMA 2 WONOSARI,N,88,86.68,68.1,60.2,68.26,67.64,71.44,70.38666667
SMA NEGERI 4 YOGYAKARTA,N,140,84.97,74.32,53.6,70.91,62.09,75.52,70.235
SMA NEGERI 1 SLEMAN,N,102,84.9,71.13,58.64,62.7,73.9,68.45,69.95333333
SMA NEGERI 11 YOGYAKARTA,N,187,84.72,70.07,57.51,68.08,63.58,71.1,69.17666667
SMA NEGERI 1 SEWON,N,153,82.11,69.63,56.7,72.66,64.35,66.51,68.66
SMA NEGERI 1 MLATI,N,50,83.51,65.99,58.91,72.64,64.95,64.76,68.46
SMA NEGERI 2 WATES,N,83,84.84,69.53,51.23,62.74,69.19,72.28,68.30166667
SMA NEGERI 10 YOGYAKARTA,N,110,82.83,66.3,62.21,67.77,62.39,67.9,68.23333333
